file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,innerclass,10,10,0,10,55,1,0,62,182,0.9174603,0.0,0.0,21,0,16,0,5,0,21,0,0,0,15,0,15,0,0,0,0,0,15,238,19,12,11,2,0,76,0,58,8,51,3,0,0,2,229,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$GraalMetadataCopyConfig,innerclass,1,1,0,1,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,18,1,1,1,0,0,5,0,4,0,5,2,0,0,0,27,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$XML,innerclass,5,5,0,5,43,1,0,43,42,0.53125,0.0,0.0,16,1,15,0,1,0,16,0,0,0,2,0,2,0,0,0,0,0,3,168,17,6,10,4,0,18,7,49,2,41,3,0,0,0,83,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$JarPlugin,innerclass,3,3,0,3,1,2,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,12,0,0,0,0,0,9,0,1,0,2,1,0,0,1,12,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Dependency$VersionComparator,innerclass,1,1,0,1,7,1,0,6,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,4,1,1,1,0,2,4,5,0,5,2,0,0,0,17,10,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM,class,7,11,4,7,80,12,0,87,227,0.95454544,0.0,0.0,22,22,13,9,0,0,22,0,0,0,11,11,11,0,0,0,9,0,42,1400,15,13,11,7,2,87,10,86,27,78,5,0,23,0,309,1,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Execution,innerclass,2,2,0,2,12,1,0,10,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,41,3,2,2,0,0,9,0,6,1,6,2,0,0,0,19,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$CompilerPlugin,innerclass,3,3,0,3,3,2,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,16,0,1,0,0,0,6,0,1,0,2,3,0,0,1,12,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$JavadocPlugin,innerclass,4,4,0,4,1,2,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,11,0,1,0,2,1,0,0,1,12,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$GraalDependencyConfig,innerclass,1,1,0,1,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,14,1,0,1,0,0,6,0,2,0,5,1,0,0,0,23,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Plugin$Details,innerclass,6,6,0,6,5,1,0,3,8,0.7714286,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,0,7,0,0,0,0,0,0,32,4,0,0,0,0,0,0,8,0,8,0,0,0,0,21,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Plugin,innerclass,6,6,0,6,13,1,0,14,2,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,76,2,4,1,0,0,7,0,6,1,6,2,0,1,0,31,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Repository,innerclass,2,2,0,2,4,1,0,2,0,0.22222222,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,20,2,0,0,0,0,7,0,5,0,5,1,0,0,0,14,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$NativeImagePlugin,innerclass,7,7,0,7,25,2,0,13,0,0.05263158,NaN,NaN,1,0,1,0,0,0,1,0,0,0,19,1,19,0,0,0,0,0,0,95,0,6,5,0,0,44,0,24,0,28,3,0,0,1,138,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$ThirdPartyPlugins,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$ConsumerWithException,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$SourcePlugin,innerclass,4,4,0,4,1,2,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,5,0,1,0,2,1,0,0,1,11,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$GraalAgentConfig,innerclass,2,2,0,2,7,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,1,26,1,2,2,0,0,6,0,4,2,6,2,0,0,0,22,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Dependency,innerclass,5,5,0,5,35,1,0,32,0,0.5555556,0.0,0.0,11,2,10,1,0,0,10,0,0,0,9,0,9,0,0,0,0,0,9,134,9,4,8,2,2,45,11,26,8,26,6,0,1,0,87,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$EnforcerPlugin,innerclass,4,4,0,4,1,2,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,7,0,1,0,2,1,0,0,1,11,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$GraalMetadataRepositoryConfig,innerclass,2,2,0,2,6,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,1,22,1,1,3,0,0,6,0,4,0,7,2,0,0,0,25,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\MyMainClass.java,com.mycompany.myproject.MyMainClass,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Profile,innerclass,5,5,0,5,6,2,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,24,1,4,0,0,0,6,0,3,0,2,1,0,0,0,17,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$ThisProject,innerclass,2,2,0,2,4,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,1,0,0,13,0,6,3,0,2,0,0,0,18,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\test\java\com\mycompany\myproject\MyMainClassTest.java,com.mycompany.myproject.MyMainClassTest,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$AssemblyPlugin,innerclass,4,4,0,4,1,2,0,5,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,14,0,0,0,0,0,14,0,1,0,2,1,0,0,1,13,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Plugins,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$PackagerPlugin,innerclass,4,4,0,4,27,2,0,6,0,0.72727275,0.0,0.0,4,0,4,0,0,0,4,0,0,0,11,1,11,0,0,0,0,0,0,83,3,0,9,0,0,46,0,9,0,15,2,0,0,1,114,9,0
